comment,replies,date,user_name
I hope this fight isn't fixed. If it's a real fight then Tyson will knock Paul out in round one.,[],2024-11-13T18:43:29Z,@RibeyeRob
TRUMP 2024,[],2024-11-12T06:03:58Z,@NickandVictoria
Man I really hope Mike teaches Jake Paul a lesson about what real boxing is about,[],2024-11-12T03:08:12Z,@miguelrodriguez-ru6zj
Trump would know if robin was a good woman I mean they like 2 peas in a pot wonder how much of Tysons money went to trump back then,[],2024-10-31T00:20:41Z,@Noone-wt5rx
Boxers should use Knees,[],2024-10-15T16:10:43Z,@IndomitableAier
"Tyson is the GOAT.

If he trained Mike Tyson could've fought forever.

With trainer, nutrition, and designer PEDs you can fight for a long time. 

Tyson in his prime demolishes both Lenox and Evander.

It's not a hot take either. Tyson beat Lenox in sparring as teenagers and a prime Mike Tyson with Cus for 10 years would've been just fine. 

Attrition isn't as big a factor with genetic freaks like Tyson (in addition to the aforementioned variables i cited earlier).

Tyson is #2 BEST (not ""greatest"") heavyweight of all time. Only Ali was better. And even then I think Tyson could beat him. He was a freak of nature.",[],2024-09-20T02:06:52Z,@feynmanschwingere_mc2270
"MIKE TYSON BLACK MAMBA MILIONER, BLACK MAMBA BRILIAN, BLACK MAMBA LEGENDARYS.😊",[],2024-08-14T10:26:50Z,@BaletBbc
A big thanks to MIke and to Cus,[],2024-08-12T22:24:46Z,@NYRNJD1987
This is the best Mike Tyson edit ever made. Dude was the scariest motherfucker to walk the face of the Earth.,[],2024-07-24T01:11:40Z,@xn--g5h6690ovb
Black Jesus,[],2024-07-08T14:03:51Z,@Will-y3i
"Just for the record, Tyson actually beat “Buster” Douglas but the count was extra LONG & Buster was saved by the bell🎯💯",[],2024-06-27T01:59:27Z,@AnthonyCiccone-x4m
"He could've been the best of all time, but he isn't one of the best of all time .. .. It's a shame .. .. You can't just blame a rough childhood on his downfall .. .. Most great fighters had rough childhoods .. .. My grandparents are Polish, and they survived a much harder childhood than Mike Tyson did .. .. Mike Tyson was great to watch because his ability to destroy his opponents was so exciting .. .. He had everything to make him the greatest .. .. Everything, except the ability to deal with competition .. .. Roberto Duran admits it on camera .. .. I smell fear, if you fear me, then you will lose. If you don't fear me, then you can beat me .. .. That goes for Tyson .. Tyson never won back his defeats, he never lost on points because he gave up .. His body was perfect, but his mind and his heart were not qualified for warrior status .. .. It's a fact .. .. I love Mike Tyson , but we have to face facts .. .. He cannot be one of the greatest because the greatest fought the greatest and won, and if they lost, they came back and won .. .. He didn't do that .. .. I coach boxing, and the question I always get asked is::  would Tyson beat Muhammad Ali? Absolutely not, no way, no chance, never in a million years .. .. Muhammad Ali would've outclassed him .. .. Cassius Clay would've beaten the shit out of him .. .. He could've been the greatest",[],2024-06-23T22:17:26Z,@DAVEEPAUL
I believe Don knew what he was going to take from Mike but then Robin and her mom took the rest like vultures and vampires!!!!! Blood suckers I bet he did need some dope to deal with the demons around him he was a baby 21 years old world champ come on the 80’s was different bruh,[],2024-06-06T22:46:27Z,@kptyler5
Anyone still rewatching this even tho it’s 6 years old😮‍💨😮‍💨,[],2024-05-29T17:58:14Z,@zeromercy8218
"There has never been a bigger rise, fall and comeback, than Mike Tyson. 🙏",[],2024-05-19T17:59:58Z,@briantneary2248
"If you grew up in the 80s and early 90s, there wasnt a scarier human alive.",[],2024-05-19T17:56:53Z,@briantneary2248
"His mother had sex with a man!!!
...NO SHIT 😂😂😂",[],2024-05-19T09:19:19Z,@MrMaster2262
"Mike Tyson is both a magnificent beast and a remarkable man.

No one who could've beat him in his prime, except maybe  Little Mac, led by legendary coach Doc Louis, and a hell of a lot of luck on the night.",[],2024-05-18T20:07:45Z,@davidchamberlain8243
"She either brings you up or down ,and don kng took advantage of the situation smh . Love ya mike still my favorite boxer of all time !",[],2024-05-17T08:02:29Z,@FadedBlack3000
"7:07 Tysons gonna drop Jake with one of these ""I'm flying!"" moments 😂😂😂JV, thanks for the video and the great slow-moes 👏🏾👏🏾👏🏾",[],2024-05-17T03:15:43Z,@eleanorclub
